buy_amount,volume,sell_amount,gain,buy_sequence_number,sell_sequence_number,pnl
10,0.00012205155482085945,9.999998779484454,False,23504,23524,0.146742317522369
10,0.00012205155482085945,9.999998779484454,False,23506,23526,0.14674109700682259
10,0.00012205155482085945,9.999998779484454,False,23507,23527,0.14673987649127618
10,0.00012205155482085945,9.999998779484454,False,23508,23528,0.14673865597572977
10,0.00012205155482085945,9.999998779484454,False,23509,23529,0.14673743546018336
10,0.00012205155482085945,9.999998779484454,False,23510,23530,0.14673621494463696
10,0.00012205155482085945,9.999998779484454,False,23511,23531,0.14673499442909055
10,0.00012205155482085945,9.999998779484454,False,23513,23533,0.14673377391354414
10,0.00012205155482085945,9.999998779484454,False,23516,23536,0.14673255339799773
10,0.00012205155482085945,9.999998779484454,False,23517,23537,0.14673133288245133
10,0.00012205155482085945,9.999998779484454,False,23518,23538,0.14673011236690492
10,0.00012205155482085945,9.999998779484454,False,23519,23539,0.1467288918513585
10,0.00012205155482085945,9.999998779484454,False,23520,23540,0.1467276713358121
10,0.00012206423312901407,9.99999877935767,False,24159,24179,0.14672645069348178
10,0.00012206853928757626,9.999998779314605,False,24666,24686,0.14672523000808724
10,0.00012206853928757626,9.999998779314605,False,24667,24687,0.1467240093226927
10,0.0001221317510920716,10.000327313092928,True,24759,24779,0.1470513224156207
10,0.0001221289320020303,10.000113579906763,True,24760,24780,0.147164902322384
10,0.00012212946896152823,10.000158768309648,True,24762,24782,0.14732367063203178
10,0.0001221214782743454,9.998757094451168,False,24791,24811,0.1460807650831999
10,0.00012212491974373192,9.999887634670142,False,24829,24849,0.14596839975334142
10,0.00012212491974373192,9.999887634670142,False,24830,24850,0.14585603442348294
10,0.00012212491974373192,9.999887634670142,False,24831,24851,0.14574366909362446
10,0.0001221243536611205,9.999841282439016,False,24832,24852,0.14558495153264062
10,0.0001221243536611205,9.999841282439016,False,24833,24853,0.14542623397165677
10,0.0001221243536611205,9.999841282439016,False,24834,24854,0.14526751641067293
10,0.0001221243536611205,9.999841282439016,False,24835,24855,0.14510879884968908
10,0.0001221243536611205,10.000206434256464,True,24836,24856,0.14531523310615313
10,0.0001221243536611205,10.000206434256464,True,24837,24857,0.14552166736261718
10,0.0001221243536611205,10.000206434256464,True,24838,24858,0.14572810161908123
10,0.0001221243536611205,10.000206434256464,True,24839,24859,0.14593453587554528
10,0.0001221243536611205,10.000206434256464,True,24840,24860,0.14614097013200933
10,0.0001221243536611205,10.000206434256464,True,24841,24861,0.14634740438847338
10,0.0001221243536611205,10.000206434256464,True,24842,24862,0.14655383864493743
10,0.0001221243536611205,10.000206434256464,True,24843,24863,0.14676027290140148
10,0.0001221243536611205,10.000206434256464,True,24844,24864,0.14696670715786553
10,0.0001221243536611205,10.000206434256464,True,24845,24865,0.14717314141432958
10,0.0001221243536611205,10.000206434256464,True,24846,24866,0.14737957567079363
10,0.0001221243536611205,10.000206434256464,True,24847,24867,0.14758600992725768
10,0.0001221243536611205,10.000206434256464,True,24848,24868,0.14779244418372173
10,0.0001221243536611205,10.000206434256464,True,24849,24869,0.14799887844018578
10,0.0001221243536611205,10.000206434256464,True,24850,24870,0.14820531269664983
10,0.0001221243536611205,10.000335886071344,True,24851,24871,0.14854119876799388
10,0.0001221243536611205,10.000381072082199,True,24852,24872,0.14892227085019272
10,0.0001221243536611205,10.000428700580125,True,24853,24873,0.14935097143031761
10,0.0001221243536611205,10.000727905246597,True,24854,24874,0.15007887667691477
10,0.0001221243536611205,10.000770648770377,True,24855,24875,0.1508495254472919
10,0.00012212071659219197,10.000521657264233,True,24856,24876,0.15137118271152517
10,0.000122120684089471,10.000577613529824,True,24857,24877,0.15194879624134927
10,0.00012212070982077605,10.0006358962171,True,24858,24878,0.15258469245844886
10,0.00012212070982077605,10.000678638465537,True,24859,24879,0.15326333092398592
10,0.00012212070982077605,10.000722601921073,True,24860,24880,0.15398593284505857
10,0.0001221207531579808,10.000788432480322,True,24861,24881,0.15477436532538036
10,0.00012212069492369016,10.000797096798127,True,24862,24882,0.1555714621235076
10,0.000122120684089471,10.000796209554345,True,24863,24883,0.15636767167785237
10,0.000122120684089471,10.000796209554345,True,24864,24884,0.15716388123219716
10,0.000122120684089471,10.000796209554345,True,24865,24885,0.15796009078654194
10,0.000122120684089471,10.000798651968026,True,24866,24886,0.1587587427545678
10,0.0001221207572208611,10.000804640898673,True,24867,24887,0.15956338365324108
10,0.00012212075857515522,10.000804751805543,True,24868,24888,0.1603681354587838
10,0.00012212075857515522,10.000804751805543,True,24869,24889,0.16117288726432655
10,0.00012212069086085548,10.000799206495323,True,24870,24890,0.16197209375964938
10,0.00012210548556543897,10.000221920045146,True,24907,24927,0.16219401380479503
10,0.0001221027609509998,9.99999877897239,False,24908,24928,0.16219279277718535
10,0.0001221027609509998,9.99999877897239,False,24912,24932,0.16219157174957566
10,0.0001221027609509998,9.99999877897239,False,24913,24933,0.16219035072196597
10,0.0001221027609509998,9.99999877897239,False,24914,24934,0.16218912969435628
10,0.0001221027609509998,9.99999877897239,False,24915,24935,0.1621879086667466
10,0.0001221027609509998,9.99999877897239,False,24916,24936,0.1621866876391369
10,0.0001221027609509998,9.99999877897239,False,24917,24937,0.16218546661152722
10,0.0001221027609509998,9.99999877897239,False,24918,24938,0.16218424558391753
10,0.0001221027609509998,9.99999877897239,False,24919,24939,0.16218302455630784
10,0.0001221027609509998,9.99999877897239,False,24920,24940,0.16218180352869815
10,0.0001221027609509998,9.99999877897239,False,24921,24941,0.16218058250108847
10,0.0001221027609509998,9.99999877897239,False,24922,24942,0.16217936147347878
10,0.0001221027609509998,9.99999877897239,False,24923,24943,0.1621781404458691
10,0.0001221027609509998,9.99999877897239,False,24924,24944,0.1621769194182594
10,0.0001221027609509998,9.99999877897239,False,24925,24945,0.16217569839064971
10,0.00012209496021382086,9.999359912482749,False,24930,24950,0.16153561087339874
10,0.00012209451945194644,9.999323814869788,False,24933,24953,0.1608594257431868
10,0.00012209254274540485,9.99916192612257,False,24942,24962,0.1600213518657565
10,0.00012209413211868576,9.999292092965192,False,24943,24963,0.15931344483094811
10,0.0001220951872743545,9.999378508336285,False,24944,24964,0.15869195316723328
10,0.0001220951872743545,9.999378508336285,False,24945,24965,0.15807046150351844
10,0.00012209407208178672,9.999287176050027,False,24946,24966,0.15735763755354526
10,0.00012209407208178672,9.999987996023776,False,24947,24967,0.15734563357732156
